route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"0009","20331000015","20331033297","Cleunay","","0","09-37.2713975","0009-A-1372-1390","1",""
"0009","20331000023","20331033298","Cleunay","","0","09-37.2708254","0009-A-1372-1390","1",""
"0009","20331000025","20331033299","Cleunay","","0","09-37.2713110","0009-A-1372-1390","1",""
"0076","20331000031","20331000333","Rennes Lycée Basch","","1","76-1.2712642","0076-B-3851-1566","1",""
"0050","20331000025","20331003330","Rennes République","","0","53-1.2712855","0050-A-3301-1563","1",""
"0009","20331000033","20331033300","Cleunay","","0","09-37.2713406","0009-A-1372-1390","1",""
"0009","20331000039","20331033301","Cleunay","","0","09-37.2713702","0009-A-1372-1390","1",""
"0009","20331000052","20331033302","Cleunay","","0","09-37.2714298","0009-A-1372-1390","1",""
"0009","20331000015","20331033303","Saint-Laurent","","1","09-31.2713970","0009-B-1390-1372","1",""
"0009","20331000023","20331033304","Saint-Laurent","","1","09-31.2708249","0009-B-1390-1372","1",""
"0009","20331000025","20331033305","Saint-Laurent","","1","09-31.2713105","0009-B-1390-1372","1",""
"0009","20331000033","20331033306","Saint-Laurent","","1","09-31.2713401","0009-B-1390-1372","1",""
"0009","20331000039","20331033307","Saint-Laurent","","1","09-31.2713697","0009-B-1390-1372","1",""
"0009","20331000052","20331033308","Saint-Laurent","","1","09-31.2714293","0009-B-1390-1372","1",""
"0009","20331000015","20331033309","Cleunay","","0","09-1.2713959","0009-A-1372-1390","1",""
"0050","20331000033","20331003331","Rennes République","","0","53-1.2713151","0050-A-3301-1563","1",""
"0009","20331000023","20331033310","Cleunay","","0","09-1.2708154","0009-A-1372-1390","1",""
"0009","20331000025","20331033311","Cleunay","","0","09-1.2713090","0009-A-1372-1390","1",""
"0009","20331000033","20331033312","Cleunay","","0","09-1.2713386","0009-A-1372-1390","1",""
"0009","20331000039","20331033313","Cleunay","","0","09-1.2713681","0009-A-1372-1390","1",""
"0009","20331000052","20331033314","Cleunay","","0","09-1.2714278","0009-A-1372-1390","1",""
"0009","20331000015","20331033315","Saint-Laurent","","1","09-35.2713976","0009-B-1390-1372","1",""
"0009","20331000023","20331033316","Saint-Laurent","","1","09-35.2708255","0009-B-1390-1372","1",""
"0009","20331000025","20331033317","Saint-Laurent","","1","09-35.2713111","0009-B-1390-1372","1",""
"0009","20331000033","20331033318","Saint-Laurent","","1","09-35.2713407","0009-B-1390-1372","1",""
"0009","20331000039","20331033319","Saint-Laurent","","1","09-35.2713694","0009-B-1390-1372","1",""
"0050","20331000039","20331003332","Rennes République","","0","53-1.2713447","0050-A-3301-1563","1",""
"0009","20331000052","20331033320","Saint-Laurent","","1","09-35.2714299","0009-B-1390-1372","1",""
"0009","20331000015","20331033321","Cleunay","","0","09-34.2713974","0009-A-1372-1390","1",""
"0009","20331000023","20331033322","Cleunay","","0","09-34.2708253","0009-A-1372-1390","1",""
"0009","20331000025","20331033323","Cleunay","","0","09-34.2713109","0009-A-1372-1390","1",""
"0009","20331000033","20331033324","Cleunay","","0","09-34.2713405","0009-A-1372-1390","1",""
"0009","20331000039","20331033325","Cleunay","","0","09-34.2713701","0009-A-1372-1390","1",""
"0009","20331000052","20331033326","Cleunay","","0","09-34.2714297","0009-A-1372-1390","1",""
"0009","20331000015","20331033327","Saint-Laurent","","1","09-36.2713972","0009-B-1390-1372","1",""
"0009","20331000023","20331033328","Saint-Laurent","","1","09-36.2708251","0009-B-1390-1372","1",""
"0009","20331000025","20331033329","Saint-Laurent","","1","09-36.2713107","0009-B-1390-1372","1",""
"0050","20331000052","20331003333","Rennes République","","0","53-1.2714043","0050-A-3301-1563","1",""
"0009","20331000033","20331033330","Saint-Laurent","","1","09-36.2713403","0009-B-1390-1372","1",""
"0009","20331000039","20331033331","Saint-Laurent","","1","09-36.2713699","0009-B-1390-1372","1",""
